Product,Channel,Pooled_LightGBM,SKU_LightGBM,SKU_XGBoost,SKU_GAM,SKU_Stacked_GAM_LGBM,SKU_LightGBM_Tuned,Best_Model,Best_Accuracy,Recommendation
Energy Drink 350ml,Traditional,0.8071637437527828,0.8165070289682094,0.8569407948797153,0.8522713985638588,0.8302361472246209,0.8474629461013448,SKU_XGBoost,0.8569407948797153,SKU_XGBoost
Cereal Bar 50g,E-commerce,0.8291334315853199,0.8324748457079191,0.8246771858210316,0.8256970603857255,0.8090604726016941,0.8501201409902701,SKU_LightGBM_Tuned,0.8501201409902701,SKU_LightGBM_Tuned
Whole Grain Crackers 200g,Supermarkets,0.7525731277929377,0.7178432268754029,0.7283733879884993,0.792815508939766,0.8136659119728212,0.7465132812693325,SKU_Stacked_GAM_LGBM,0.8136659119728212,SKU_Stacked_GAM_LGBM
Whole Grain Crackers 200g,E-commerce,0.7620278470586288,0.7967288266417164,0.7842383838995923,0.7924290740847797,0.7919612460273651,0.7802261566911007,SKU_LightGBM,0.7967288266417164,SKU_LightGBM
Natural Juice 1L,Traditional,0.780168649787498,0.7788113770676375,0.7665534400731947,0.7775603848976291,0.7683899018122744,0.7928517286806072,SKU_LightGBM_Tuned,0.7928517286806072,SKU_LightGBM_Tuned
Cereal Bar 50g,Supermarkets,0.7780617047650875,0.7819548533100994,0.7758544485123052,0.7557618330411521,0.7749529350929814,0.7805407317330786,SKU_LightGBM,0.7819548533100994,SKU_LightGBM
Energy Drink 350ml,Supermarkets,0.7689453560493368,0.7736974927357048,0.7792828628581874,0.75445512789918,0.737783058210734,0.7743921551884778,SKU_XGBoost,0.7792828628581874,SKU_XGBoost
Natural Juice 1L,Supermarkets,0.6400315434874195,0.674157413437695,0.6886904017825533,0.6721454470251282,0.6342197957446055,0.7076288251362944,SKU_LightGBM_Tuned,0.7076288251362944,SKU_LightGBM_Tuned
Natural Juice 1L,E-commerce,0.6130229001424351,0.6457646537773756,0.6176238207874665,0.33817456983484584,0.37117285456375615,0.689533922514463,SKU_LightGBM_Tuned,0.689533922514463,SKU_LightGBM_Tuned
Flavored Water 500ml,Supermarkets,0.6213150444226967,0.6700901930614132,0.6404790247121989,0.44056270633272454,0.41226435672480344,0.6559372766786555,SKU_LightGBM,0.6700901930614132,SKU_LightGBM
Flavored Water 500ml,Traditional,0.4962038207995685,0.6046210315136626,0.6023524467266939,0.6453813650174351,0.6360895317842097,0.6342824931090078,SKU_GAM,0.6453813650174351,SKU_GAM
Cereal Bar 50g,Traditional,0.3417915155976018,0.4924715728005581,0.48584128568070195,0.5999610404421265,0.5635731446874667,0.5550770808611113,SKU_GAM,0.5999610404421265,SKU_GAM
Whole Grain Crackers 200g,Traditional,0.3369533659789309,0.4697897317863512,0.5033531044866848,0.509155632482138,0.4785508697714811,0.5822011638633042,SKU_LightGBM_Tuned,0.5822011638633042,SKU_LightGBM_Tuned
Energy Drink 350ml,E-commerce,-0.18997254912023087,-0.3618442009198384,-0.6522680002286021,-0.22839932334004098,-0.5100736049967913,-0.2770743694824551,Pooled_LightGBM,-0.18997254912023087,NONE stable -- needs further investigation
Flavored Water 500ml,E-commerce,-0.49056189854251087,-0.5671936839518275,-0.3060903635674208,-0.9989482202304505,-0.6544589023793417,-0.314944865283876,SKU_XGBoost,-0.3060903635674208,NONE stable -- needs further investigation
