Product,Channel,Pooled_LightGBM,SKU_LightGBM,SKU_XGBoost,SKU_GAM,Best_Model,Best_Accuracy,Recommendation
Energy Drink 350ml,Traditional,0.8071637437527828,0.8165070289682094,0.8088630165335968,0.852271398546403,SKU_GAM,0.852271398546403,SKU_GAM
Cereal Bar 50g,E-commerce,0.8291334315853199,0.8324748457079191,0.8218220557275987,0.8256970603859195,SKU_LightGBM,0.8324748457079191,SKU_LightGBM
Whole Grain Crackers 200g,E-commerce,0.7620278470586288,0.7967288266417164,0.7891926396848785,0.7924290740843863,SKU_LightGBM,0.7967288266417164,SKU_LightGBM
Whole Grain Crackers 200g,Supermarkets,0.7525731277929377,0.7178432268754029,0.7447530177091815,0.7928155089396842,SKU_GAM,0.7928155089396842,SKU_GAM
Cereal Bar 50g,Supermarkets,0.7780617047650875,0.7819548533100994,0.7876550613637522,0.7557618330410254,SKU_XGBoost,0.7876550613637522,SKU_XGBoost
Natural Juice 1L,Traditional,0.780168649787498,0.7788113770676375,0.7838026758726541,0.7775603848977142,SKU_XGBoost,0.7838026758726541,SKU_XGBoost
Energy Drink 350ml,Supermarkets,0.7689453560493368,0.7736974927357048,0.7762288242330166,0.7544551278996778,SKU_XGBoost,0.7762288242330166,SKU_XGBoost
Natural Juice 1L,Supermarkets,0.6400315434874195,0.674157413437695,0.6880115251534475,0.6721454470233669,SKU_XGBoost,0.6880115251534475,SKU_XGBoost
Flavored Water 500ml,Supermarkets,0.6213150444226967,0.6700901930614132,0.6446059578973166,0.4405627063297952,SKU_LightGBM,0.6700901930614132,SKU_LightGBM
Natural Juice 1L,E-commerce,0.6130229001424351,0.6457646537773756,0.5706261093868255,0.3381745698356793,SKU_LightGBM,0.6457646537773756,SKU_LightGBM
Flavored Water 500ml,Traditional,0.4962038207995685,0.6046210315136626,0.603128835292306,0.6453813650174273,SKU_GAM,0.6453813650174273,SKU_GAM
Cereal Bar 50g,Traditional,0.3417915155976018,0.4924715728005581,0.4906278786588527,0.5999610404421699,SKU_GAM,0.5999610404421699,SKU_GAM
Whole Grain Crackers 200g,Traditional,0.3369533659789309,0.4697897317863512,0.4345087911241994,0.509155632481939,SKU_GAM,0.509155632481939,SKU_GAM
Energy Drink 350ml,E-commerce,-0.18997254912023087,-0.3618442009198384,-0.5828934016225811,-0.22839932334376845,Pooled_LightGBM,-0.18997254912023087,NONE stable -- needs further investigation
Flavored Water 500ml,E-commerce,-0.49056189854251087,-0.5671936839518275,-0.49407821442862976,-0.9989482202309741,Pooled_LightGBM,-0.49056189854251087,NONE stable -- needs further investigation
