Product,Channel,Over_baseline_pct,Under_baseline_pct,Over_quantile_pct,Under_quantile_pct,Shelf_Life_Days,Alpha_Used,Delta_Over_pp,Delta_Under_pp
Whole Grain Crackers 200g,Traditional,24.80777847339205,27.575026986323603,17.606147312611434,30.09667097424982,30,0.35,-7.201631160780618,2.5216439879262182
Whole Grain Crackers 200g,E-commerce,10.403346998553786,9.042576644099794,5.308099642534994,14.0834063235264,30,0.35,-5.095247356018793,5.040829679426606
Whole Grain Crackers 200g,Supermarkets,19.267654632097926,7.0094800592217315,10.848859754543854,9.816502638955274,30,0.35,-8.418794877554072,2.807022579733543
Cereal Bar 50g,E-commerce,8.083644432011452,6.115411991242233,5.0665180003710875,9.899566663401176,40,0.392,-3.0171264316403645,3.7841546721589427
Cereal Bar 50g,Traditional,25.495037158875316,22.224447370994422,20.603425176237575,24.22098372720833,40,0.392,-4.891611982637741,1.996536356213909
Cereal Bar 50g,Supermarkets,5.790465482575218,16.17467167302472,4.06399569374652,20.425575331293036,40,0.392,-1.7264697888286982,4.250903658268317
Natural Juice 1L,E-commerce,13.626713774214178,24.43483763537533,11.280267061726693,26.547984729829793,45,0.412,-2.3464467124874844,2.1131470944544617
Natural Juice 1L,Supermarkets,16.10514407959228,8.098230465024281,13.402550959409481,10.795983025569885,45,0.412,-2.7025931201827973,2.697752560545604
Natural Juice 1L,Traditional,4.203023948999073,17.58175852463554,2.841714547018496,20.55151239387314,45,0.412,-1.3613094019805771,2.9697538692376
Flavored Water 500ml,Supermarkets,12.879528887826941,13.13755835930494,12.879528887826941,13.13755835930494,60,0.475,0.0,0.0
Flavored Water 500ml,Traditional,16.50059882214456,7.453326689835124,16.50059882214456,7.453326689835124,60,0.475,0.0,0.0
Flavored Water 500ml,E-commerce,26.261621177043615,25.692938529600745,26.261621177043615,25.692938529600745,60,0.475,0.0,0.0
Energy Drink 350ml,Supermarkets,10.535184261346625,10.428731647265705,16.950176403901214,6.833078528412188,90,0.6,6.414992142554588,-3.595653118853517
Energy Drink 350ml,Traditional,6.01575893460354,10.59595639862533,12.04725406496939,7.085471275393351,90,0.6,6.03149513036585,-3.5104851232319785
Energy Drink 350ml,E-commerce,40.44289965455618,23.26870980251417,48.26233069945039,19.370721862204164,90,0.6,7.819431044894209,-3.8979879403100064
