Product,Channel,Pooled_LightGBM,SKU_LightGBM,SKU_XGBoost,SKU_GAM,SKU_Stacked_GAM_LGBM,SKU_LightGBM_Tuned,SKU_XGBoost_Tuned,Best_Model,Best_Accuracy,Recommendation
Energy Drink 350ml,Traditional,0.8071637437527828,0.8165070289682094,0.8088630165335968,0.852271398546403,0.8302361472253857,0.7778133982897875,0.8431167902263762,SKU_GAM,0.852271398546403,SKU_GAM
Cereal Bar 50g,E-commerce,0.8291334315853199,0.8324748457079191,0.8218220557275987,0.8256970603859195,0.8090604726019482,0.8467246162850008,0.8504397629501967,SKU_XGBoost_Tuned,0.8504397629501967,SKU_XGBoost_Tuned
Whole Grain Crackers 200g,E-commerce,0.7620278470586288,0.7967288266417164,0.7891926396848785,0.7924290740843863,0.7919612460270568,0.8090807021049814,0.8139960918095347,SKU_XGBoost_Tuned,0.8139960918095347,SKU_XGBoost_Tuned
Whole Grain Crackers 200g,Supermarkets,0.7525731277929377,0.7178432268754029,0.7447530177091815,0.7928155089396842,0.8136659119723738,0.7751109823277177,0.7448951092919551,SKU_GAM,0.7928155089396842,SKU_GAM (override manual -- ver Secao 7)
Cereal Bar 50g,Supermarkets,0.7780617047650875,0.7819548533100994,0.7876550613637522,0.7557618330410254,0.7749529350930071,0.7873031981307735,0.7935334468201791,SKU_XGBoost_Tuned,0.7935334468201791,SKU_XGBoost_Tuned
Natural Juice 1L,Traditional,0.780168649787498,0.7788113770676375,0.7838026758726541,0.7775603848977142,0.7683899018123197,0.7470362613534283,0.7850300696916954,SKU_XGBoost_Tuned,0.7850300696916954,SKU_XGBoost_Tuned
Energy Drink 350ml,Supermarkets,0.7689453560493368,0.7736974927357048,0.7762288242330166,0.7544551278996778,0.7377830582111127,0.749669220959948,0.7779056383389178,SKU_XGBoost_Tuned,0.7779056383389178,SKU_XGBoost_Tuned
Natural Juice 1L,E-commerce,0.6130229001424351,0.6457646537773756,0.5706261093868255,0.3381745698356793,0.3711728545644932,0.5282158932898569,0.7393336602398766,SKU_XGBoost_Tuned,0.7393336602398766,SKU_XGBoost_Tuned
Natural Juice 1L,Supermarkets,0.6400315434874195,0.674157413437695,0.6880115251534475,0.6721454470233669,0.6342197957422678,0.7121964812031034,0.6861980873715363,SKU_LightGBM_Tuned,0.7121964812031034,SKU_LightGBM_Tuned
Flavored Water 500ml,Supermarkets,0.6213150444226967,0.6700901930614132,0.6446059578973166,0.4405627063297952,0.41226435672169826,0.7021418925686018,0.6658288943978985,SKU_LightGBM_Tuned,0.7021418925686018,SKU_LightGBM_Tuned
Cereal Bar 50g,Traditional,0.3417915155976018,0.4924715728005581,0.4906278786588527,0.5999610404421699,0.5635731446875476,0.6990407329832211,0.5301940465333101,SKU_LightGBM_Tuned,0.6990407329832211,SKU_LightGBM_Tuned
Whole Grain Crackers 200g,Traditional,0.3369533659789309,0.4697897317863512,0.4345087911241994,0.509155632481939,0.478550869771315,0.6946881797481728,0.535773535348748,SKU_LightGBM_Tuned,0.6946881797481728,SKU_LightGBM_Tuned
Flavored Water 500ml,Traditional,0.4962038207995685,0.6046210315136626,0.603128835292306,0.6453813650174273,0.6360895317841779,0.650277203792373,0.6224135716437894,SKU_LightGBM_Tuned,0.650277203792373,SKU_LightGBM_Tuned
Energy Drink 350ml,E-commerce,-0.18997254912023087,-0.3618442009198384,-0.5828934016225811,-0.22839932334376845,-0.5100736050010184,0.17066362408009417,-0.2551351699637947,SKU_LightGBM_Tuned,0.17066362408009417,SKU_LightGBM_Tuned
Flavored Water 500ml,E-commerce,-0.49056189854251087,-0.5671936839518275,-0.49407821442862976,-0.9989482202309741,-0.6544589023799079,-0.18784329083787643,-0.47964698562944696,SKU_LightGBM_Tuned,-0.18784329083787643,NONE stable -- needs further investigation
