Product,Channel,Acc_LGBM_Constraint,Sign_pct_LGBM_Constraint,Acc_LGBM_MapeObj,Sign_pct_LGBM_MapeObj,Acc_GAM,Sign_pct_GAM,Acc_XGBoost,Sign_pct_XGBoost
Cereal Bar 50g,E-commerce,0.8427542408428528,0.0,0.8257339767469305,47.368421052631575,0.8256970603857255,0.0,0.8246771858210316,0.0
Cereal Bar 50g,Supermarkets,0.7822611872645198,0.0,0.7830802862520376,52.63157894736842,0.7557618330411521,0.0,0.7758544485123052,0.0
Cereal Bar 50g,Traditional,0.48769755097729317,0.0,0.7046317795882736,42.10526315789473,0.5999610404421265,0.0,0.48584128568070195,0.0
Energy Drink 350ml,E-commerce,-0.35672987457531447,0.0,-0.1141841513743378,52.63157894736842,-0.22839932334004098,26.31578947368421,-0.6522680002286021,0.0
Energy Drink 350ml,Supermarkets,0.7658171909381604,0.0,0.7740531558668456,31.57894736842105,0.75445512789918,0.0,0.7792828628581874,0.0
Energy Drink 350ml,Traditional,0.8192838483411815,0.0,0.8288693308180697,63.1578947368421,0.8522713985638588,0.0,0.8569407948797153,0.0
Flavored Water 500ml,E-commerce,-0.5167852578428953,0.0,-0.16377187154174,31.57894736842105,-0.9989482202304505,0.0,-0.3060903635674208,0.0
Flavored Water 500ml,Supermarkets,0.6653753753894325,0.0,0.7066744553288247,52.63157894736842,0.44056270633272454,68.42105263157895,0.6404790247121989,0.0
Flavored Water 500ml,Traditional,0.6127778462027147,0.0,0.6326870914473375,36.84210526315789,0.6453813650174351,0.0,0.6023524467266939,0.0
Natural Juice 1L,E-commerce,0.6124638162855537,0.0,0.5383691987861283,47.368421052631575,0.33817456983484584,5.263157894736842,0.6176238207874665,0.0
Natural Juice 1L,Supermarkets,0.6799487861931102,0.0,0.725503322938315,31.57894736842105,0.6721454470251282,0.0,0.6886904017825533,0.0
Natural Juice 1L,Traditional,0.7866465329209182,0.0,0.752543643312264,31.57894736842105,0.7775603848976291,0.0,0.7665534400731947,0.0
Whole Grain Crackers 200g,E-commerce,0.7960451592413185,0.0,0.7911147563132164,52.63157894736842,0.7924290740847797,0.0,0.7842383838995923,0.0
Whole Grain Crackers 200g,Supermarkets,0.7183987227057267,0.0,0.7789940353962262,52.63157894736842,0.792815508939766,42.10526315789473,0.7283733879884993,0.0
Whole Grain Crackers 200g,Traditional,0.45873412605166697,0.0,0.6841856261844794,31.57894736842105,0.509155632482138,42.10526315789473,0.5033531044866848,0.0
