Product,Channel,Pooled_LightGBM,SKU_LightGBM,SKU_XGBoost,SKU_GAM,SKU_Stacked_GAM_LGBM,SKU_LightGBM_Tuned,SKU_XGBoost_Tuned,Best_Model,Best_Accuracy,Recommendation
Energy Drink 350ml,Traditional,0.8071637437527828,0.8165070289682094,0.8569407948797153,0.8522713985638588,0.8302361472246209,0.7778133982897875,0.8490486866654599,SKU_XGBoost,0.8569407948797153,SKU_XGBoost
Cereal Bar 50g,E-commerce,0.8291334315853199,0.8324748457079191,0.8246771858210316,0.8256970603857255,0.8090604726016941,0.8467246162850008,0.8505151680271406,SKU_XGBoost_Tuned,0.8505151680271406,SKU_XGBoost_Tuned
Whole Grain Crackers 200g,Supermarkets,0.7525731277929377,0.7178432268754029,0.7283733879884993,0.792815508939766,0.8136659119728212,0.7751109823277177,0.7462927831711497,SKU_Stacked_GAM_LGBM,0.8136659119728212,SKU_Stacked_GAM_LGBM
Whole Grain Crackers 200g,E-commerce,0.7620278470586288,0.7967288266417164,0.7842383838995923,0.7924290740847797,0.7919612460273651,0.8090807021049814,0.7922021164410903,SKU_LightGBM_Tuned,0.8090807021049814,SKU_LightGBM_Tuned
Cereal Bar 50g,Supermarkets,0.7780617047650875,0.7819548533100994,0.7758544485123052,0.7557618330411521,0.7749529350929814,0.7873031981307735,0.7919537655643416,SKU_XGBoost_Tuned,0.7919537655643416,SKU_XGBoost_Tuned
Natural Juice 1L,Traditional,0.780168649787498,0.7788113770676375,0.7665534400731947,0.7775603848976291,0.7683899018122744,0.7470362613534283,0.7747597920348999,Pooled_LightGBM,0.780168649787498,Pooled_LightGBM
Energy Drink 350ml,Supermarkets,0.7689453560493368,0.7736974927357048,0.7792828628581874,0.75445512789918,0.737783058210734,0.749669220959948,0.7660554223806911,SKU_XGBoost,0.7792828628581874,SKU_XGBoost
Natural Juice 1L,Supermarkets,0.6400315434874195,0.674157413437695,0.6886904017825533,0.6721454470251282,0.6342197957446055,0.7121964812031034,0.7014253839391755,SKU_LightGBM_Tuned,0.7121964812031034,SKU_LightGBM_Tuned
Flavored Water 500ml,Supermarkets,0.6213150444226967,0.6700901930614132,0.6404790247121989,0.44056270633272454,0.41226435672480344,0.7021418925686018,0.6552030581822119,SKU_LightGBM_Tuned,0.7021418925686018,SKU_LightGBM_Tuned
Cereal Bar 50g,Traditional,0.3417915155976018,0.4924715728005581,0.48584128568070195,0.5999610404421265,0.5635731446874667,0.6990407329832211,0.5454533529611819,SKU_LightGBM_Tuned,0.6990407329832211,SKU_LightGBM_Tuned
Whole Grain Crackers 200g,Traditional,0.3369533659789309,0.4697897317863512,0.5033531044866848,0.509155632482138,0.4785508697714811,0.6946881797481728,0.5341648480536256,SKU_LightGBM_Tuned,0.6946881797481728,SKU_LightGBM_Tuned
Natural Juice 1L,E-commerce,0.6130229001424351,0.6457646537773756,0.6176238207874665,0.33817456983484584,0.37117285456375615,0.5282158932898569,0.6777085384282542,SKU_XGBoost_Tuned,0.6777085384282542,SKU_XGBoost_Tuned
Flavored Water 500ml,Traditional,0.4962038207995685,0.6046210315136626,0.6023524467266939,0.6453813650174351,0.6360895317842097,0.650277203792373,0.6363666581313961,SKU_LightGBM_Tuned,0.650277203792373,SKU_LightGBM_Tuned
Energy Drink 350ml,E-commerce,-0.18997254912023087,-0.3618442009198384,-0.6522680002286021,-0.22839932334004098,-0.5100736049967913,0.17066362408009417,-0.2080385704566412,SKU_LightGBM_Tuned,0.17066362408009417,SKU_LightGBM_Tuned
Flavored Water 500ml,E-commerce,-0.49056189854251087,-0.5671936839518275,-0.3060903635674208,-0.9989482202304505,-0.6544589023793417,-0.18784329083787643,-0.2522083548859917,SKU_LightGBM_Tuned,-0.18784329083787643,NONE stable -- needs further investigation
